檔案,欄位,說明,來源表,取數範圍
(使用前提),—,本資料包以「2025年底(2025/12/31)為現在」。Demo 的今天、使用者持股/成本/提問時點，皆須設定在此時點，不可混用 2026 真實部位。,—,—
(時間範圍),—,日資料=2025全年逐日；股利/連續配息=2025年度；產業分類=靜態最新。,—,—
(資產保護),—,僅提供 300 檔示範籃子，非全市場；報酬/距高低/連續配息為系統預算之衍生值(隱含歷史，未交出歷史序列)。,—,—
(已排除),新聞,應要求不提供新聞資料(sysnews)。,—,—
01_行情估值_2025.csv,收盤價,當日收盤,sysdbase,2025
01_行情估值_2025.csv,總市值(億),市值規模,sysdbase,2025
01_行情估值_2025.csv,市值比重(%),佔大盤比重(集中度),sysdbase,2025
01_行情估值_2025.csv,本益比(近四季),近四季本益比(估值),sysdbase,2025
01_行情估值_2025.csv,股價淨值比,PB,sysdbase,2025
01_行情估值_2025.csv,週轉率(%),成交量/市值(活絡度),sysdbase,2025
01_行情估值_2025.csv,漲跌停,1漲停/-1跌停/0非,sysdbase,2025
02_法人動向_2025.csv,買賣超合計,三大法人合計買賣超(張),sysmalst,2025
02_法人動向_2025.csv,外資持股比率(%),外資持股比重,sysmalst,2025
02_法人動向_2025.csv,法人持股比率(%),三大法人持股比重,sysmalst,2025
03_報酬率_2025.csv,年報酬率(%),還原近一年報酬(隱含歷史),sysacd,2025
03_報酬率_2025.csv,季報酬率(%),還原近一季報酬,sysacd,2025
03_報酬率_2025.csv,與大盤比年報酬率(%),超額報酬vs大盤,sysacd,2025
03_報酬率_2025.csv,殖利率(%),近一年現金殖利率,sysacd,2025
04_距高低動能_2025.csv,今年以來新高價/新低價,年內高低(買點區間),sysSpeedDbase,2025
04_距高低動能_2025.csv,股價乖離年線(%),偏離年線程度(過熱/超跌),sysSpeedDbase,2025
04_距高低動能_2025.csv,股價創歷史新高,1=當日創歷史新高,sysSpeedDbase,2025
04_距高低動能_2025.csv,近20日漲跌幅%,短期動能,sysSpeedDbase,2025
05_股利除息_2025.csv,現金股利合計(元),2025年度現金股利,systuane,2025
05_股利除息_2025.csv,現金股利殖利率(%),現金殖利率,systuane,2025
05_股利除息_2025.csv,股利發放率(%),配息/EPS,systuane,2025
05_股利除息_2025.csv,除息日,除息日期,systuane,2025
06_連續配息_個股_2025.csv,連續N年發放現金股利,連續配息年數(個股),sysSpeedTuane,2025
06_連續配息_個股_2025.csv,現金股利連N年遞增,連續遞增年數,sysSpeedTuane,2025
06b_連續配息_ETF_2025.csv,連續N年發放現金股利,連續配息年數(ETF),sysYEtfIncSpeed,2025
07_產業分類對照.csv,主產業,交易所主產業/ETF,sysindicallCombin+syscgalp,2025
07_產業分類對照.csv,全部產業標籤,所有產業標籤,sysindicallCombin,2025
09_寬表彙總_每股一列_2025.csv,買點分位(%),(收盤-年低)/(年高-年低)，0=年低100=年高,衍生,2025
09_寬表彙總_每股一列_2025.csv,連續配息年數,個股+ETF合併,sysSpeedTuane/sysYEtfIncSpeed,2025
(同學會範圍),—,同學會發文/回文為每日彙總『數字』，涵蓋 300 檔、2025 全年，與 CMoney 資料同時間軸。無任何貼文原文、無個人識別。,—,2025全年
10_同學會發文回文每日統計_2025.csv,日期/股票代號/股票名稱,每檔每日一列,—,2025全年
10_同學會發文回文每日統計_2025.csv,發文則數/發文人數,當日該股被標記的發文則數/發文人數,同學會發文標記,2025全年
10_同學會發文回文每日統計_2025.csv,看多發文/看空發文/中性發文,發文的多空立場則數(看多/看空/中性),同學會發文標記,2025全年
10_同學會發文回文每日統計_2025.csv,回文則數/回文人數,當日該股相關文章的回文則數/回文人數,同學會回文,2025全年
(樣本選法),—,300 檔採「產業分層抽樣」：依全市場產業比例配額（金融、航運等核心產業微調補足），各產業內再依同學會關注度挑選。涵蓋全部 36 產業。,—,—
09_寬表彙總_每股一列_2025.csv,同學會瀏覽次數/人數,該股 2025 同學會個股頁瀏覽次數/不重複人數（低關注本身即訊號）,同學會行為,2025全年
